movie_id,title,release_date,original_language,vote_average,vote_count,popularity,overview,genre_ids
98,Gladiator,2000-05-04,en,8.2,18794,269.239,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","28,18,12"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,en,7.135,10615,194.434,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","12,10751,14"
671,Harry Potter and the Philosopher's Stone,2001-11-16,en,7.9,27445,214.352,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","12,14"
772,Home Alone 2: Lost in New York,1992-11-15,en,6.7,9548,228.374,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.","35,10751,12"
8871,How the Grinch Stole Christmas,2000-11-17,en,6.8,7398,288.653,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,"10751,35,14"
173705,Female Teacher: In Front of the Students,1982-04-09,ja,6.6,17,453.679,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.","18,9648,27"
179387,Heavenly Touch,2009-05-12,tl,6.1,27,1118.624,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.","18,10749"
259872,Skin. Like. Sun.,2010-02-19,nl,6.6,21,300.525,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",10749
335983,Venom,2018-09-28,en,6.834,16047,416.916,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","878,28"
360920,The Grinch,2018-11-08,en,6.86,3925,252.098,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,"16,10751,35,14"
