movie_id,popularity_category
98,Media
411,Media
671,Media
772,Media
8871,Media
173705,Media
179387,Alta
259872,Media
335983,Media
360920,Media
385687,Media
402431,Alta
482600,Media
519182,Alta
533535,Alta
539972,Media
558449,Alta
573435,Media
580489,Media
592695,Media
592983,Alta
639720,Media
653346,Media
693134,Media
698687,Alta
726139,Media
748783,Media
762441,Media
762509,Media
786892,Media
791042,Alta
814889,Media
823219,Media
823464,Media
829557,Media
839033,Media
845781,Alta
889737,Media
912649,Alta
917496,Media
933260,Alta
939243,Media
940139,Media
940551,Media
945961,Alta
957119,Alta
957452,Media
972614,Media
974453,Alta
974576,Media
976734,Media
978796,Media
995803,Baja
1010581,Media
1011985,Media
1014505,Media
1022789,Alta
1029235,Media
1034541,Alta
1035048,Alta
1041317,Media
1051896,Media
1064028,Media
1079091,Media
1084736,Media
1084863,Media
1094974,Media
1097870,Media
1100099,Media
1100782,Alta
1100856,Media
1104844,Media
1108427,Alta
1116490,Media
1118031,Alta
1124641,Media
1125510,Media
1138194,Media
1142518,Media
1144962,Media
1147416,Media
1156593,Media
1159311,Media
1165466,Media
1171640,Alta
1182387,Alta
1184918,Alta
1196470,Media
1233327,Alta
1234811,Media
1241982,Alta
1252309,Alta
1252470,Media
1299652,Alta
1326059,Alta
1331375,Media
1354627,Media
1355755,Media
1365044,Media
1371727,Media
